iter	RMSE
0	8143850.356
1	7860174.283
2	7621629.765
3	7361066.594
4	7141396.64
5	6947223.488
6	6766860.661
7	6586974.785
8	6448823.23
9	6271977.536
10	6135978.152
11	5999357.035
12	5867973.935
13	5770001.752
14	5678672.955
15	5579221.981
16	5479823.431
17	5391148.669
18	5302653.889
19	5230165.792
20	5132110.943
21	5059743.702
22	4993539.035
23	4937860.083
24	4862982.137
25	4789972.89
26	4734973.577
27	4671587.465
28	4637052.134
29	4624963.491
30	4577256.683
31	4534397.088
32	4475650.379
33	4424696.145
34	4389099.791
35	4364135.944
36	4310336.21
37	4288010.004
38	4248922.471
39	4223073.102
40	4190107.921
41	4177379.741
42	4149408.083
43	4103911.436
44	4075338.908
45	4052172.538
46	4013250.67
47	4003063.928
48	3969883.834
49	3944905.301
50	3927144.694
51	3902321.359
52	3880385.656
53	3850619.827
54	3814542.224
55	3795829.288
56	3757229.583
57	3738069.406
58	3721223.221
59	3688945.844
60	3672585.986
61	3654854.914
62	3639429.168
63	3597354.988
64	3563523.121
65	3547052.687
66	3526256.701
67	3509048.924
68	3496978.133
69	3479619.625
70	3459253.454
71	3445303.238
72	3432446.507
73	3403408.872
74	3390921.483
75	3358415.608
76	3330407.35
77	3312852.02
78	3306349.39
79	3304288.487
80	3283794.743
81	3274412.334
82	3255851.614
83	3223210.402
84	3201503.492
85	3188679.465
86	3177516.017
87	3161509.996
88	3143177.037
89	3131441.686
90	3129791.564
91	3129637.128
92	3114869.826
93	3093293.122
94	3080221.313
95	3071841.047
96	3067542.778
97	3054769.23
98	3043995.088
99	3035010.014
