iter	Passed	Remaining
0	162	32365
1	179	17736
2	195	12814
3	213	10482
4	232	9050
5	249	8073
6	267	7368
7	283	6811
8	299	6365
9	316	6016
10	331	5697
11	346	5428
12	360	5179
13	371	4929
14	387	4782
15	404	4652
16	422	4546
17	439	4445
18	457	4359
19	475	4275
20	492	4201
21	521	4215
22	538	4140
23	552	4050
24	565	3960
25	581	3888
26	595	3817
27	610	3750
28	624	3684
29	632	3582
30	649	3541
31	667	3506
32	684	3465
33	701	3423
34	716	3375
35	731	3330
36	746	3287
37	761	3244
38	774	3198
39	788	3152
40	802	3111
41	816	3070
42	830	3033
43	845	2996
44	861	2966
45	877	2937
46	893	2907
47	907	2874
48	921	2840
49	937	2813
50	957	2796
51	974	2774
52	990	2747
53	1004	2715
54	1017	2683
55	1032	2655
56	1049	2632
57	1063	2603
58	1076	2573
59	1092	2549
60	1105	2519
61	1119	2492
62	1133	2465
63	1151	2447
64	1171	2432
65	1190	2417
66	1207	2397
67	1223	2375
68	1238	2350
69	1251	2324
70	1266	2300
71	1278	2272
72	1293	2250
73	1309	2229
74	1324	2207
75	1339	2186
76	1355	2165
77	1371	2145
78	1387	2125
79	1403	2104
80	1418	2084
81	1429	2057
82	1445	2038
83	1462	2019
84	1478	1999
85	1493	1979
86	1509	1959
87	1524	1940
88	1540	1921
89	1556	1902
90	1568	1878
91	1572	1845
92	1587	1826
93	1603	1808
94	1619	1790
95	1635	1771
96	1651	1753
97	1666	1734
98	1683	1717
99	1700	1700
